,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Grejanje,Sprat,Ukupna spratnost,Cena,Od centra
2640,Beograd,Vra?ar,Kaleni? pijaca,kursulina,Stan,62.0,2.5,CG,VPR,6,105000,1.6596235259999998
2641,Beograd,?ukarica,?ukari?ka padina,lazarevacki drum,Stan,54.0,1.5,CG,5,7,61900,0.408147727
2642,Beograd,Palilula,Karaburma,levskog,Stan,138.0,4,EG,5,6,137000,0.609592895
2643,Beograd,Novi Beograd,Bežanijska kosa 2,ljubinke bobic,Stan,83.0,3,CG,3,6,85000,6.919711104
2644,Beograd,Zvezdara,Mirijevo,ljubise miodragovica,Stan,38.0,1.5,CG,3,3,38000,7.340443792
2645,Beograd,Zvezdara,Mirijevo,ljubise miodragovica,Stan,50.0,2,CG,1,3,50000,7.340443792
2646,Beograd,Zvezdara,Mirijevo,ljubise miodragovica,Stan,56.0,2.5,TA,PTK,3,41300,7.340443792
2647,Beograd,Savski venac,Dedinje,ljutice bogdana,Stan,79.0,3,TA,VPR,1,97000,2.702039762
2648,Beograd,Savski venac,Dedinje,ljutice bogdana,Stan,79.0,3,TA,VPR,1,97000,2.702039762
2649,Beograd,Voždovac,Autokomanda,ljutice bogdana,Stan,60.0,2,CG,7,12,85000,2.702039762
2650,Beograd,Zvezdara,Mirijevo,ladne vode,Stan,65.0,3,TA,VPR,2,55000,5.462255449
2651,Beograd,Zvezdara,Mirijevo,ladne vode,Stan,65.0,3,TA,VPR,2,55000,5.462255449
2652,Beograd,Vra?ar,Hram svetog Save,lamartinova,Stan,186.0,4,CG,2,2,600000,2.078837744
2653,Beograd,?ukarica,Banovo brdo,lazara kujundzica,Stan,145.0,3,CG,3,4,125000,12.34324322
2654,Beograd,Zemun,Jelovac,lazara savatica,Stan,27.0,1,TA,1,4,44000,4.397100236
2655,Beograd,?ukarica,?ukari?ka padina,lazarevacki drum,Stan,75.0,2.5,CG,6,7,79900,0.408147727
2656,Beograd,?ukarica,?ukari?ka padina,lazarevacki drum,Stan,76.0,3,CG,6,7,73000,0.408147727
2657,Beograd,?ukarica,?ukari?ka padina,lazarevacki drum,Stan,75.0,2.5,CG,6,7,79900,0.408147727
2658,Beograd,?ukarica,?ukari?ka padina,lazarevacki drum,Stan,104.0,4,CG,PR,6,98000,0.408147727
2659,Beograd,?ukarica,?ukari?ka padina,lazarevacki drum,Stan,62.0,2,CG,7,8,60000,0.408147727
