,Unnamed: 0,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Grejanje,Sprat,Ukupna spratnost,Cena,Od centra
1455,2956,Beograd,Zvezdara,Mirijevo,dragoslav djordjevica gose,Stan,42,1.5,Norveški radijatori,3,5,45300,5.319703206
1456,3581,Beograd,Zvezdara,Mirijevo,dragoslav djordjevica gose,Stan,39,1.5,Norveški radijatori,1,5,42100,5.319703206
1457,3903,Beograd,Zvezdara,Mirijevo,dragoslav djordjevica gose,Stan,42,1.5,Norveški radijatori,3,5,45300,5.319703206
1458,1264,Beograd,Zvezdara,Mirijevo,dragoslav djordjevica gose,Stan,42,1.5,Norveški radijatori,3,5,45300,5.319703206
1459,3716,Beograd,Zvezdara,Mirijevo,dragoslav djordjevica gose,Stan,39,1.5,Norveški radijatori,1,5,42000,5.319703206
1460,5485,Beograd,Savski venac,Dedinje,drajzerova,Stan,68,2.5,CG,VPR,2,95000,3.032606952
1461,4387,Beograd,Zvezdara,Bulevar kralja Aleksandra,dravska,Stan,46,2,CG,2,7,87400,2.789385633
1462,4137,Beograd,Palilula,Botanička bašta,draze pavlovic,Stan,115,4,TA,4,4,142000,1.37341344
1463,169,Beograd,Palilula,Cvijićeva,draze pavlovic,Stan,56,2,CG,4,5,83000,1.37341344
1464,2116,Beograd,Palilula,Cvijićeva,draze pavlovic,Stan,56,2,CG,4,5,83000,1.37341344
1465,5656,Beograd,Palilula,Botanička bašta,draze pavlovic,Stan,46,2,CG,3,4,85000,1.37341344
1466,5708,Beograd,Palilula,Centar,draze pavlovic,Stan,61,2.5,CG,5,5,119000,1.37341344
1467,4920,Beograd,Palilula,Centar,draze pavlovic,Stan,69,3,CG,PR,5,131100,1.37341344
1468,3484,Beograd,Zemun,Zemun polje,drenicka,Stan,45,1.5,TA,1,2,27000,5.319703206
1469,5207,Beograd,Palilula,Karaburma,drenovacka,Stan,41,1,TA,SUT,4,27000,0.408147727
1470,3173,Beograd,Palilula,Karaburma,drenovacka,Stan,46,2,CG,7,12,46000,0.408147727
1471,1516,Beograd,Palilula,Karaburma,drenovacka,Stan,46,2,CG,7,12,46000,0.408147727
1472,3073,Beograd,Stari grad,Bajlonijeva pijaca,drinciceva,Stan,100,3,EG,3,5,159000,0.753531529
1473,1459,Beograd,Stari grad,Bajlonijeva pijaca,drinciceva,Stan,100,3,EG,3,5,159000,0.753531529
1474,5474,Beograd,Palilula,Borča,drinske divizije,Stan,64,2,CG,3,4,42000,5.744805144
1475,5006,Beograd,Palilula,Borča,drinske divizije,Stan,74,3.5,CG,PTK,4,58000,5.744805144
1476,2677,Beograd,Stari grad,Gundulićev venac,drinciceva,Stan,62,2,TA,2,4,113000,0.753531529
1477,1570,Beograd,Stari grad,Bajlonijeva pijaca,drinciceva,Stan,130,5,EG,PR,1,400000,0.753531529
1478,2308,Beograd,Stari grad,Centar,drinciceva,Stan,100,3.5,EG,3,4,159000,0.753531529
1479,871,Beograd,Stari grad,Centar,drinciceva,Stan,100,3.5,EG,3,4,159000,0.753531529
1480,968,Beograd,Stari grad,Gundulićev venac,drinciceva,Stan,62,2,TA,2,4,113000,0.753531529
1481,3769,Beograd,Stari grad,Gundulićev venac,drinciceva,Stan,26,1,CG,3,4,41000,0.753531529
1482,3655,Beograd,Stari grad,Bajlonijeva pijaca,drinciceva,Stan,62,2,Kaljeva peć,2,4,113000,0.753531529
1483,4365,Beograd,Zvezdara,Vukov Spomenik,drziceva,Stan,82,3,EG,2,3,139000,1.874591804
1484,5000,Beograd,Zvezdara,Vukov Spomenik,drziceva,Stan,82,2.5,EG,2,3,136000,1.874591804
1485,290,Beograd,Zvezdara,Vukov Spomenik,drziceva,Stan,77,3,EG,2,3,139000,1.874591804
1486,1987,Beograd,Zvezdara,Vukov Spomenik,drziceva,Stan,77,3,Kaljeva peć,3,4,136000,1.874591804
1487,2099,Beograd,Zvezdara,Vukov Spomenik,drziceva,Stan,77,2.5,Kaljeva peć,2,3,139000,1.874591804
1488,605,Beograd,Zvezdara,Vukov Spomenik,drziceva,Stan,77,2.5,Kaljeva peć,2,3,139000,1.874591804
1489,2126,Beograd,Zvezdara,Vukov Spomenik,drziceva,Stan,77,3,EG,2,3,139000,1.874591804
1490,26,Beograd,Zvezdara,Vukov Spomenik,drziceva,Stan,77,3,Kaljeva peć,3,4,136000,1.874591804
1491,1547,Beograd,Zvezdara,Vukov Spomenik,drziceva,Stan,82,2.5,EG,2,3,136000,1.874591804
1492,5337,Beograd,Zvezdara,Vukov Spomenik,drziceva,Stan,82,3,EG,2,3,139000,1.874591804
1493,3110,Beograd,Zvezdara,Vukov Spomenik,drziceva,Stan,82,2.5,EG,2,3,136000,1.874591804
1494,5822,Beograd,Vračar,Hram svetog Save,dubljanska,Stan,79,4,CG,5,5,173800,1.849278123
1495,5293,Beograd,Vračar,Hram svetog Save,dubljanska,Stan,176,4,CG,1,4,565000,1.849278123
1496,5170,Beograd,Vračar,Hram svetog Save,dubljanska,Stan,78,3,CG,4,5,166000,1.849278123
1497,271,Beograd,Vračar,Hram svetog Save,dubljanska,Stan,69,2.5,CG,PR,1,89900,1.849278123
1498,5318,Beograd,Vračar,Hram svetog Save,dubljanska,Stan,105,3,CG,4,4,420000,1.849278123
1499,4360,Beograd,Vračar,Hram svetog Save,dubljanska,Stan,114,4,CG,5,5,250800,1.849278123
1500,2519,Beograd,Savski venac,Palata pravde,durmitorska,Stan,103,4,CG,3,6,145000,1.353024846
1501,329,Beograd,Savski venac,Palata pravde,durmitorska,Stan,94,3,CG,2,5,169500,1.353024846
1502,647,Beograd,Savski venac,Kneza Miloša,durmitorska,Stan,23,0.5,TA,PR,5,37000,1.353024846
1503,785,Beograd,Savski venac,Palata pravde,durmitorska,Stan,103,4,CG,3,6,145000,1.353024846
1504,1870,Beograd,Savski venac,Palata pravde,durmitorska,Stan,94,3,CG,2,5,169500,1.353024846
1505,2512,Beograd,Savski venac,Kneza Miloša,durmitorska,Stan,23,0.5,TA,PR,5,37000,1.353024846
1506,4350,Beograd,Savski venac,Klinički centar,durmitorska,Stan,82,3,CG,4,7,160000,1.353024846
1507,2342,Beograd,Savski venac,Kneza Miloša,durmitorska,Stan,61,2,EG,4,6,87000,1.353024846
1508,444,Beograd,Savski venac,Kneza Miloša,durmitorska,Stan,61,2,EG,4,6,87000,1.353024846
1509,4872,Beograd,Zvezdara,Zvezdarska padina,dusana radovica,Stan,65,2,Gas,2,3,87900,5.110580173
1510,505,Beograd,Voždovac,Medaković padina,dusana bude timotijevica,Stan,44,2,EG,2,3,30900,5.319703206
1511,2191,Beograd,Voždovac,Medaković padina,dusana bude timotijevica,Stan,44,2,EG,2,3,30900,5.319703206
1512,2419,Beograd,Palilula,Višnjica,dusana milosevica,Stan,44,2,EG,2,4,37500,5.319703206
1513,486,Beograd,Palilula,Višnjica,dusana milosevica,Stan,44,2,EG,2,4,37500,5.319703206
1514,2554,Beograd,Zvezdara,Olimp,dusana radovica,Stan,46,1.5,Gas,1,3,60900,5.110580173
1515,1293,Beograd,Zvezdara,Olimp,dusana radovica,Stan,46,1.5,Gas,1,3,60900,5.110580173
1516,2822,Beograd,Zvezdara,Mirijevo,dusana radovica,Stan,65,2,Gas,2,3,90000,5.110580173
1517,5556,Beograd,Zvezdara,Zvezdarska šuma,dusana radovica,Stan,65,2,Gas,2,3,87900,5.110580173
1518,195,Beograd,Čukarica,Julino brdo,dusana vlajica,Stan,39,1.5,CG,VPR,3,38990,5.988178467
1519,4829,Beograd,Čukarica,Žarkovo,dusana vlajica,Stan,54,2.5,EG,2,5,59000,5.988178467
1520,1838,Beograd,Čukarica,Julino brdo,dusana vlajica,Stan,39,1.5,CG,VPR,3,38990,5.988178467
1521,1536,Beograd,Novi Beograd,Blok 62,dusana vukasovica,Stan,73,2.5,CG,PR,13,77000,7.072688474
1522,302,Beograd,Novi Beograd,Blok 61,dusana vukasovica,Stan,93,4,CG,7,11,112000,7.072688474
1523,2064,Beograd,Novi Beograd,Blok 62,dusana vukasovica,Stan,50,1.5,CG,8,16,75000,7.072688474
1524,4453,Beograd,Novi Beograd,Blok 62,dusana vukasovica,Stan,73,3,CG,VPR,13,78500,7.072688474
1525,3861,Beograd,Novi Beograd,Blok 61,dusana vukasovica,Stan,84,3,CG,5,16,75900,7.072688474
1526,455,Beograd,Novi Beograd,Blok 62,dusana vukasovica,Stan,81,3.5,CG,8,9,80000,7.072688474
1527,1192,Beograd,Novi Beograd,Blok 61,dusana vukasovica,Stan,77,2.5,CG,3,4,95000,7.072688474
1528,467,Beograd,Novi Beograd,Blok 62,dusana vukasovica,Stan,50,1.5,CG,8,16,75000,7.072688474
1529,3367,Beograd,Novi Beograd,Blok 62,dusana vukasovica,Stan,73,2.5,CG,PR,13,77000,7.072688474
1530,4585,Beograd,Novi Beograd,Blok 62,dusana vukasovica,Stan,74,2.5,CG,11,12,80000,7.072688474
1531,2052,Beograd,Novi Beograd,Blok 61,dusana vukasovica,Stan,93,4,CG,7,11,112000,7.072688474
1532,3008,Beograd,Novi Beograd,Blok 61,dusana vukasovica,Stan,77,2.5,CG,3,4,95000,7.072688474
1533,1179,Beograd,Novi Beograd,Blok 61,dusana vukasovica,Stan,84,3,CG,1,6,80000,7.072688474
1534,5023,Beograd,Novi Beograd,Blok 61,dusana vukasovica,Stan,93,4,CG,2,8,105000,7.072688474
1535,2094,Beograd,Novi Beograd,Blok 62,dusana vukasovica,Stan,81,3.5,CG,8,9,80000,7.072688474
1536,3599,Beograd,Novi Beograd,Blok 61,dusana vukasovica,Stan,59,2,CG,5,6,79700,7.072688474
1537,2848,Beograd,Novi Beograd,Blok 61,dusana vukasovica,Stan,84,3,CG,1,6,80000,7.072688474
1538,4307,Beograd,Zvezdara,Kluz,duska radovica,Stan,65,2,Gas,2,3,87900,5.110580173
1539,5609,Beograd,Zvezdara,Mirijevo,duska radovica,Stan,19,0.5,CG,PSUT,3,17000,5.110580173
1540,4097,Beograd,Čukarica,Sremčica,dvorzakova,Stan,42,1.5,TA,2,3,32000,12.34324322
1541,4818,Beograd,Čukarica,Sremčica,dvorzakova,Stan,59,4,TA,3,4,35000,12.34324322
1542,5522,Beograd,Čukarica,Sremčica,dvorzakova,Stan,42,1,CG,2,5,34000,12.34324322
1543,5840,Beograd,Novi Beograd,Paviljoni,dzona kenedija,Stan,55,2,TA,4,6,70000,4.382410047
1544,5287,Beograd,Stari grad,Bajlonijeva pijaca,dzordza vasingtona,Stan,65,2,CG,1,5,130000,0.75627668
1545,127,Beograd,Novi Beograd,Stari Merkator,dzona kenedija,Stan,72,3,CG,2,7,159500,4.382410047
1546,4359,Beograd,Novi Beograd,Hotel Jugoslavija,dzona kenedija,Stan,120,4.5,CG,9,9,165000,4.382410047
1547,1840,Beograd,Novi Beograd,Stari Merkator,dzona kenedija,Stan,72,3,CG,2,7,159500,4.382410047
1548,4674,Beograd,Novi Beograd,Paviljoni,dzona kenedija,Stan,62,3,Norveški radijatori,2,5,93000,4.382410047
1549,5642,Beograd,Novi Beograd,Paviljoni,dzona kenedija,Stan,60,2,TA,PR,5,62000,4.382410047
1550,5034,Beograd,Novi Beograd,Hotel Jugoslavija,dzona kenedija,Stan,72,3,CG,2,7,159500,4.382410047
1551,2164,Beograd,Stari grad,Centar,dzordza vasingtona,Stan,90,2.5,TA,1,4,140000,0.75627668
1552,475,Beograd,Stari grad,Centar,dzordza vasingtona,Stan,90,2.5,TA,1,4,140000,0.75627668
1553,5274,Beograd,Stari grad,Centar,dzordza vasingtona,Stan,44,2,CG,3,4,97000,0.75627668
1554,3616,Beograd,Novi Beograd,Blok 63,evropska,Stan,45,2,CG,3,5,79200,2.550275069
1555,3091,Beograd,Rakovica,Resnik,edvarda griga,Stan,72,2.5,CG,1,3,58000,8.446850801
1556,5770,Beograd,Rakovica,Resnik,edvarda griga,Stan,70,2.5,CG,1,3,62000,8.446850801
1557,1331,Beograd,Rakovica,Resnik,edvarda griga,Stan,72,2.5,CG,1,3,58000,8.446850801
1558,4541,Beograd,Rakovica,Resnik,edvarda griga,Stan,120,3,CG,3,4,78000,8.446850801
1559,5320,Beograd,Rakovica,Resnik,edvarda griga,Stan,72,2.5,CG,2,4,58000,8.446850801
