,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Cena
10874,Beograd,Stari grad,Centar,Bulevar Despota Stefana,Stan,70,2.0,89000
10875,Beograd,Novi Beograd,Blok 70 (kineski tržni centar),Jurija Gagarina,Stan,59,2.0,65000
10876,Beograd,Palilula,Profesorska kolonija,ČARLI ČAPLINA,Stan,95,4.5,138000
10877,Beograd,Palilula,Borča,Ratnih vojnih invalida,Stan,42,1.0,30000
10878,Beograd,Voždovac,FON - Bilećka,KOD HOTELA M,Stan,56,2.0,95200
10879,Beograd,Vračar,Hram svetog Save,Cara Nikolaja Drugog,Stan,210,5+,330000
10880,Beograd,Čukarica,Banovo brdo,TREBEVIČKA,Stan,36,1.0,46000
10881,Beograd,Savski venac,Dedinje,Aleksandra Stamboliskog,Stan,180,4.0,315000
10882,Beograd,Novi Beograd,Blok 37,Bulevar Arsenija Čarnojevića,Stan,66,2.5,86000
10883,Beograd,Savski venac,Dedinje,Aleksandra Stamboliskog,Stan,85,2.0,149000
10884,Beograd,Savski venac,Dedinje,Aleksandra Stamboliskog,Stan,90,2.0,158000
10885,Beograd,Čukarica,Sunčana padina,Petra Lekovića,Stan,70,2.5,79000
10886,Beograd,Palilula,Višnjička Banja,Sestara Janković,Stan,45,1.5,46000
10887,Beograd,Novi Beograd,Stara Bežanija,Zemunska,Stan,37,1.0,44000
10888,Beograd,Stari grad,Dorćol,Gundulicev Venac,Stan,63,2.5,115000
10889,Beograd,Savski venac,Centar,Sarajevska,Stan,60,2.0,90000
10890,Beograd,Zemun,Gornji grad,BOSANSKA,Stan,49,2.0,55000
10891,Beograd,Zvezdara,Veliki Mokri Lug,Ristin potok,Stan,39,2.0,32000
10892,Beograd,Voždovac,Vojvode Stepe,Vojvode Stepe,Stan,48,1.5,59000
10893,Beograd,Zvezdara,Mirijevo,PERE VELJKOVICA,Stan,82,3.0,68000
10894,Beograd,Rakovica,Kneževac,17. oktobra,Stan,24,0.5,24500
10895,Beograd,Rakovica,Petlovo brdo,Jagodinska,Stan,116,3.0,89000
10896,Beograd,Zvezdara,Severni bulevar,Ledinačka,Stan,44,1.5,43000
10897,Beograd,Voždovac,Konjarnik,Mikenska,Stan,42,1.5,36000
10898,Beograd,Palilula,Profesorska kolonija,Stevana Musića,Stan,31,2.5,55000
10899,Beograd,Zemun,Pregrevica,Pregrevica,Stan,60,2.0,64000
10900,Beograd,Zemun,Galenika,Jovana Stojisavljevića,Stan,83,3.0,75000
