,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Grejanje,Sprat,Ukupna spratnost,Cena
3301,Beograd,Opština Stari grad,Dorćol,Kneginje Ljubice,Stan,102.0,4.0,CG,5,5,170000.0
3302,Beograd,Opština Zvezdara,Lion,Vojislava Ilića,Stan,47.0,2.0,CG,5,6,93000.0
3303,Beograd,Opština Rakovica,Labudovo brdo,Sretena Mladenovića Mike,Stan,55.0,2.0,EG,4,4,62000.0
3304,Beograd,Opština Voždovac,Braće Jerković,Braće Jerković,Stan,40.0,1.0,TA,2,4,47000.0
3305,Beograd,Opština Palilula,Borča,Lička,Stan,37.0,1.5,EG,2,3,28000.0
3306,Beograd,Opština Čukarica,Cerak vinogradi,Vinogradski venac,Stan,83.0,3.0,CG,5,6,87500.0
3307,Beograd,Opština Rakovica,Labudovo brdo,11. krajiške divizije,Stan,50.0,2.5,Gas,1,4,45000.0
3308,Beograd,Opština Rakovica,Labudovo brdo,17. oktobra ,Stan,22.0,0.5,EG,1,4,23000.0
3309,Beograd,Opština Stari grad,Centar,Kralja Milana,Stan,118.0,3.5,CG,2,5,530000.0
3310,Beograd,Opština Zvezdara,Gradska bolnica,Čingrijina,Stan,28.0,1.0,TA,PR,1,32000.0
3311,Beograd,Opština Savski venac,Senjak,Koste Glavinica,Stan,65.0,3.0,TA,VPR,4,89000.0
