,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Cena
2422,Beograd,Palilula,Bor?a,Ratnih Vojnih Invalida,Stan,75.0,3.0,55000.0
2423,Beograd,Palilula,Bor?a,Milana Ajvaza,Stan,17.0,0.5,10000.0
2424,Beograd,Obrenovac,Obrenovac (mesto),Aleksandra Ace Simovi?a 13,Stan,33.0,1.0,20000.0
2425,Beograd,Voždovac,Hotel M,Bulevar oslobo?enja,Stan,88.0,3.5,155000.0
2426,Beograd,Voždovac,Medakovi? 3,Bra?e Srni?,Stan,95.0,4.0,104000.0
2427,Beograd,Rakovica,Miljakovac,Borska,Stan,34.0,1.0,45000.0
2428,Beograd,Stari grad,Gunduli?ev venac,Komnena barjaktara,Stan,38.0,2.0,60000.0
2429,Beograd,Novi Beograd,Blok 63,Gandijeva,Stan,59.0,2.0,73900.0
2430,Beograd,Novi Beograd,Blok 62,Gandijeva,Stan,66.0,2.0,65000.0
2431,Beograd,Voždovac,Bra?e Jerkovi?,Vojvode Vlahovi?a,Stan,48.0,1.5,51500.0
2432,Beograd,Vra?ar,Južni bulevar,Sime Igumanova 1,Stan,85.0,3.0,146000.0
2433,Beograd,Voždovac,Naselje Stepa Stepanovi?,2.srpske armije,Stan,83.0,3.0,88000.0
2434,Beograd,Voždovac,Bra?e Jerkovi?,Vojvode Vlahovica,Stan,27.0,0.5,27000.0
2435,Beograd,Novi Beograd,Stari Merkator,Otona Župan?i?a,Stan,110.0,4.0,104000.0
2436,Beograd,Zvezdara,Vukov Spomenik,?irila i Metodija,Stan,85.0,3.0,255000.0
2437,Beograd,Stari grad,Dor?ol,Milorada Gavrilovi?a,Stan,67.0,2.0,42000.0
2438,Beograd,Stari grad,Dor?ol,Milorada Gavrilovi?a,Stan,101.0,3.0,120000.0
2439,Beograd,Voždovac,FON - Bile?ka,Konstantina Filozofa,Stan,110.0,3.5,195000.0
2440,Beograd,Novi Beograd,Bežanijska kosa 3,Vespu?ijeva,Stan,92.0,4.0,92000.0
2441,Beograd,Palilula,Karaburma,LEVSKOG,Stan,138.0,4.0,137000.0
2442,Beograd,Voždovac,Centar,Vojvode Stepe,Stan,64.0,2.5,52000.0
2443,Beograd,Voždovac,Centar,Bulevar oslobo?enja,Stan,80.0,3.0,82000.0
2444,Beograd,Rakovica,Kanarevo brdo,Vukasovi?eva,Stan,47.0,2.0,45000.0
2445,Beograd,Novi Beograd,Blok 45 (TC Enjub),Jurija Gagarina,Stan,60.0,2.0,70000.0
2446,Beograd,Stari grad,Centar,Cara Lazara,Stan,40.0,2.0,120000.0
2447,Beograd,Novi Beograd,Bežanijska kosa 2,Raška Dimitrijevi?a,Stan,53.0,2.0,66000.0
2448,Beograd,Zemun,Marija Bursa?,Marije Bursa?,Stan,87.0,2.0,85000.0
2449,Beograd,Rakovica,Centar,Mari?ka,Stan,32.0,1.0,36000.0
2450,Beograd,Voždovac,Kumodraž,Orahova,Stan,21.0,1.0,17500.0
2451,Beograd,Voždovac,Banjica,Crnotravska,Stan,81.0,3.0,78000.0
2452,Beograd,Palilula,Centar,Primorska,Stan,26.0,0.5,36000.0
2453,Beograd,Palilula,Bor?a,Ratnih vojnih invalida,Stan,56.0,2.0,41000.0
2454,Beograd,Zemun,Centar,Palmira Toljatija,Stan,93.0,3.5,145000.0
2455,Beograd,Palilula,Centar,Leonarda Da Vin?ija,Stan,38.0,1.5,27500.0
2456,Beograd,Voždovac,Šumice,Gr?i?a Milenka,Stan,27.0,1.5,30000.0
2457,Beograd,Zvezdara,Cvetkova pijaca,Živka Davidovi?a,Stan,27.0,1.0,34000.0
2458,Beograd,Novi Beograd,Stari Merkator,Aleksina?kih rudara,Stan,66.0,2.0,95000.0
2459,Beograd,Zemun,Gornji grad,Prizrenska,Stan,47.0,1.5,55000.0
2460,Beograd,Zvezdara,Vukov Spomenik,Veljka Dugoševi?a,Stan,38.0,1.5,46000.0
2461,Beograd,Novi Beograd,Blok 9a,Bulevar Nikole Tesle,Stan,67.0,2.0,79000.0
2462,Beograd,Vra?ar,SC Vra?ar,Makenzijeva,Stan,84.0,3.5,175000.0
2463,Beograd,Rakovica,Centar,Stanka Paunovi?a Veljka,Stan,50.0,2.0,47500.0
2464,Beograd,Voždovac,Bra?e Jerkovi?,Dragice Kon?ar,Stan,71.0,2.5,70000.0
2465,Beograd,Vra?ar,SC Vra?ar,Južni bulevar,Stan,92.0,4.0,129000.0
2466,Beograd,Zvezdara,Vukov Spomenik,Goluba?ka,Stan,52.0,2.0,100000.0
2467,Beograd,Zvezdara,Vukov Spomenik,Bregalni?ka,Stan,29.0,1.5,57500.0
2468,Beograd,Voždovac,Centar,Vojvode Vlahovi?a,Stan,62.0,2.5,71300.0
2469,Beograd,Zvezdara,Kluz,Lošinjska,Stan,48.0,1.5,60720.0
2470,Beograd,Novi Beograd,Blok 37,Bulevar Arsenija ?arnojevi?a,Stan,99.0,3.5,94000.0
2471,Beograd,Palilula,Karaburma,Pjera Križani?a,Stan,37.0,1.5,45000.0
2472,Beograd,Vra?ar,SC Vra?ar,Cerska,Stan,85.0,1.0,145000.0
2473,Beograd,Stari grad,Dor?ol,Skadarska,Stan,80.0,3.0,150000.0
2474,Beograd,Voždovac,Centar,Vojvode Stepe,Stan,65.0,2.0,84500.0
2475,Beograd,Voždovac,Centar,Vojvode Stepe,Stan,55.0,2.0,88000.0
2476,Beograd,Zemun,Centar,Trš?anska,Stan,38.0,2.0,45000.0
2477,Beograd,Zvezdara,Vukov Spomenik,Onisima Popovi?a,Stan,67.0,2.5,82000.0
2478,Beograd,Voždovac,Bra?e Jerkovi?,Piva Karamatijevi?a,Stan,72.0,3.0,82000.0
2479,Beograd,Palilula,Centar,Dalmatinska,Stan,73.0,3.0,98000.0
2480,Beograd,Vra?ar,SC Vra?ar,Beogradska,Stan,32.0,1.0,65000.0
2481,Beograd,Palilula,Kotež,Anke Mati?,Stan,59.0,3.5,61800.0
2482,Beograd,Zemun,Batajnica,Sevastokratora Vlatka,Stan,74.0,2.5,65000.0
2483,Beograd,Zvezdara,Cvetkova pijaca,Živka Davidovi?a,Stan,50.0,2.0,60000.0
2484,Beograd,Voždovac,Konjarnik,Ustani?ka,Stan,67.0,2.5,76000.0
2485,Beograd,Novi Beograd,Blok 70 (kineski tržni centar),Jurija Gagarina,Stan,81.0,3.0,106000.0
2486,Beograd,Voždovac,Centar,Vojvode Stepe,Stan,29.0,1.5,46500.0
2487,Beograd,Savski venac,Centar,Resavska,Stan,72.0,3.0,130000.0
2488,Beograd,?ukarica,Julino brdo,Poru?nika Spasi?a i Mašere,Stan,84.0,3.0,75000.0
2489,Beograd,Palilula,Bor?a,Ratnih vojnih invalida,Stan,70.0,3.0,49000.0
2490,Beograd,Voždovac,Bra?e Jerkovi?,Vojvode Vlahovi?a,Stan,42.0,0.5,48300.0
2491,Beograd,Zvezdara,Vukov Spomenik,Kajmak?alanska,Stan,27.0,1.0,37000.0
2492,Beograd,Palilula,Centar,Draže Pavlovi?a,Stan,61.0,2.5,119000.0
2493,Beograd,Vra?ar,Kaleni? pijaca,Kaleni?eva,Stan,97.0,3.0,169000.0
2494,Beograd,Vra?ar,Hram svetog Save,Hadži Melentijeva,Stan,71.0,3.5,129900.0
2495,Beograd,Vra?ar,Hram svetog Save,Šumatova?ka,Stan,67.0,3.0,126900.0
2496,Beograd,Rakovica,Petlovo brdo,Omladinsko šetalište,Stan,30.0,1.0,27000.0
2497,Beograd,Voždovac,Naselje Stepa Stepanovi?,Generala Vladimira Kondi?a,Stan,84.0,3.0,89000.0
2498,Beograd,Voždovac,Voždova?ka crkva,Vojvode Stepe,Stan,132.0,4.0,159000.0
2499,Beograd,Zvezdara,Mirijevo,Ivana Sarica,Stan,55.0,2.0,56000.0
2500,Beograd,Rakovica,Petlovo brdo,RASINSKA,Stan,72.0,2.5,47000.0
2501,Beograd,Zemun,Save Kova?evi?a,Šilerova,Stan,30.0,0.5,37500.0
2502,Beograd,Palilula,Višnji?ka Banja,Sestara Jankovi?,Stan,46.0,1.5,44000.0
2503,Beograd,?ukarica,Banovo brdo,Š?erbinova,Stan,136.0,4.0,369000.0
2504,Beograd,Rakovica,Novo Skojevsko naselje,Rujica,Stan,80.0,3.0,69000.0
2505,Beograd,Rakovica,Vidikovac,Susedgradska,Stan,60.0,2.5,55000.0
2506,Beograd,Rakovica,Novo Skojevsko naselje,Milice Srpkinje,Stan,37.0,1.5,40700.0
2507,Beograd,Novi Beograd,Dr Ivana Ribara,Dr Ivana Ribara,Stan,57.0,1.5,60000.0
2508,Beograd,Zvezdara,Mirijevo,GRGE JANKESA,Stan,69.0,2.5,75000.0
2509,Beograd,Zvezdara,Mirijevo,Dragoslava Srejovica,Stan,47.0,2.0,48200.0
2510,Beograd,Voždovac,Voždova?ka crkva,Vojvode Stepe,Stan,71.0,2.0,83000.0
2511,Beograd,Palilula,Palilulska pijaca,27.marta,Stan,60.0,2.0,80000.0
2512,Beograd,Voždovac,Ustani?ka,Ustani?ka,Stan,67.0,2.0,80000.0
2513,Beograd,Palilula,Višnjica,113 Nova,Stan,72.0,3.0,63000.0
2514,Beograd,Zemun,Galenika,Josipa Šenera,Stan,43.0,2.0,42000.0
2515,Beograd,?ukarica,Bele vode,Jelenov žleb,Stan,82.0,3.5,56500.0
2516,Beograd,?ukarica,?ukari?ka padina,Radni?ka,Stan,46.0,1.5,54500.0
2517,Beograd,Novi Beograd,Bežanijska kosa 1,Danila Lekica Spanca,Stan,68.0,2.5,83000.0
2518,Beograd,Savski venac,Gavrila Principa,Gavrila Principa,Stan,60.0,2.0,85000.0
2519,Beograd,Voždovac,Saobra?ajni fakultet,Ljuba Vu?kovi?a,Stan,66.0,3.5,74000.0
2520,Beograd,Stari grad,Dor?ol,Mike Alasa,Stan,44.0,1.5,80000.0
2521,Beograd,Savski venac,Dedinje,Augusta Cesarca,Stan,41.0,1.5,69900.0
2522,Beograd,Voždovac,Bra?e Jerkovi?,"Bra?e Jerkovi?, kod MOL pumpe",Stan,43.0,2.0,35900.0
2523,Beograd,Rakovica,Miljakovac,Nikole Marakovi?a,Stan,110.0,3.5,64900.0
2524,Beograd,Savski venac,Senjak,Ka?anskog,Stan,168.0,5.0,220000.0
2525,Beograd,Savski venac,Dedinje,Omladinska,Stan,76.0,3.0,149000.0
2526,Beograd,Voždovac,Medakovi? 1,kod škole,Stan,59.0,2.5,55900.0
2527,Beograd,Savski venac,Centar,Kara?or?eva,Stan,96.0,3.5,159900.0
2528,Beograd,Zvezdara,Lipov lad,Presevska,Stan,36.0,1.5,56000.0
2529,Beograd,?ukarica,Banovo brdo,Petra Lekovica,Stan,51.0,2.0,60000.0
2530,Beograd,Voždovac,Bra?e Jerkovi?,Brace Jerkovic,Stan,62.0,2.0,63000.0
2531,Beograd,Voždovac,Bra?e Jerkovi?,Brace Jerkovic,Stan,59.0,2.0,59000.0
2532,Beograd,Zvezdara,Denkova bašta,Topaloviceva,Stan,71.0,3.0,89500.0
2533,Beograd,?ukarica,Železnik,Darinke Radovic,Stan,56.0,2.0,37000.0
2534,Beograd,Voždovac,Ustani?ka,Rebeke Vest,Stan,105.0,4.0,149000.0
2535,Beograd,Vra?ar,Krunska,Njegoševa,Stan,91.0,3.5,250000.0
2536,Beograd,Zvezdara,Mirijevo,Vitezova Kara?or?eve zvezde,Stan,74.0,3.0,79000.0
2537,Beograd,Vra?ar,Crveni krst,Cerska,Stan,49.0,2.0,83000.0
2538,Beograd,Vra?ar,Crveni krst,Cerska,Stan,85.0,4.0,154000.0
2539,Beograd,Voždovac,Voždova?ka crkva,Vojvode Stepe,Stan,94.0,3.0,110000.0
2540,Beograd,Voždovac,Voždova?ka crkva,Vojvode Stepe,Stan,115.0,4.0,120000.0
2541,Beograd,Vra?ar,Crveni krst,Branka Krsmanovi?a,Stan,140.0,4.0,170000.0
2542,Beograd,Zemun,Gornji grad,Skopljanska,Stan,60.0,2.0,65000.0
2543,Beograd,Voždovac,Banjica,kod crkve,Stan,105.0,3.0,99500.0
2544,Beograd,?ukarica,Cerak,Jablani?ka,Stan,90.0,3.0,86000.0
2545,Beograd,Voždovac,Bra?e Jerkovi?,Zaplanjska,Stan,30.0,0.5,22900.0
2546,Beograd,?ukarica,Cerak,Omorika,Stan,93.0,3.5,88000.0
2547,Beograd,Rakovica,Petlovo brdo,Mrakovi?ka,Stan,68.0,2.5,62000.0
2548,Beograd,Rakovica,Miljakovac,?elebi?ka,Stan,67.0,2.5,62000.0
2549,Beograd,?ukarica,Banovo brdo,Izvorska,Stan,114.0,5.0,135000.0
2550,Beograd,Zemun,Retenzija,Jovana Miodragovi?a,Stan,92.0,3.0,134900.0
2551,Beograd,Novi Beograd,Hotel Jugoslavija,Klare Cetkin,Stan,114.0,5.0,216000.0
2552,Beograd,Zvezdara,Severni bulevar,Veljka Dugosevica,Stan,52.0,2.0,71500.0
2553,Beograd,Zvezdara,Slavujev venac,Mariborska,Stan,55.0,2.5,91000.0
2554,Beograd,Palilula,Karaburma,Vojvode Micka ,Stan,55.0,2.5,66000.0
2555,Beograd,Novi Beograd,Blok 61,Jurija Gagarina,Stan,76.0,2.5,85000.0
2556,Beograd,Zvezdara,Mirijevo,Dragoslava ?or?evi?a Goše,Stan,45.0,1.5,43200.0
2557,Beograd,Palilula,Krnja?a,GRGE ANDRIJANOVICA,Stan,54.0,2.0,62000.0
2558,Beograd,Novi Beograd,Bežanijska kosa 3,Kod Grand Kafe,Stan,42.0,2.0,38000.0
2559,Beograd,Rakovica,Miljakovac,Stevana Opa?i?a,Stan,40.0,1.0,38000.0
2560,Beograd,Zemun,Batajnica,Brace Mihajlovic Tripic 6,Stan,98.0,3.0,125000.0
2561,Beograd,Zvezdara,Zvezdara 2,ULCINJSKA,Stan,44.0,1.5,70000.0
2562,Beograd,Voždovac,Lekino brdo,Rada Neimara,Stan,104.0,5.0,59900.0
2563,Beograd,Rakovica,Labudovo brdo,Serdara Janka Vukotica,Stan,83.0,3.5,77000.0
2564,Beograd,Vra?ar,Hram svetog Save,Sokolska,Stan,83.0,3.5,175000.0
2565,Beograd,Zvezdara,Mirijevo,Dola?ka,Stan,51.0,2.0,52000.0
2566,Beograd,Novi Beograd,Blok 62,Dusana Vukasovica,Stan,66.0,2.5,65000.0
2567,Beograd,Zvezdara,Bulevar kralja Aleksandra,Bulevar kralja Aleksandra,Stan,56.0,2.5,59000.0
2568,Beograd,Novi Beograd,Blok 61,Dr Ivana Ribara,Stan,65.0,2.0,75000.0
2569,Beograd,Voždovac,Medakovi? 2,Rastka Petrovi?a,Stan,57.0,2.0,50000.0
2570,Beograd,Stari grad,Centar,Gospodar Jevremova,Stan,102.0,3.5,365000.0
2571,Beograd,Rakovica,Miljakovac,Slavoljuba Vuksanovi?a,Stan,83.0,2.5,71900.0
2572,Beograd,Rakovica,Miljakovac,Nikole Marakovi?a,Stan,93.0,3.5,65000.0
2573,Beograd,Rakovica,Miljakovac,Borska,Stan,78.0,3.5,69900.0
2574,Beograd,Zemun,Gornji grad,PRIZRENSKA,Stan,47.0,2.0,55000.0
2575,Beograd,Palilula,Višnji?ka Banja,Darinke Jevri?,Stan,39.0,1.5,42000.0
2576,Beograd,Zvezdara,Mirijevo,Dragoslava ?or?evi?a Goše,Stan,39.0,1.5,37440.0
2577,Beograd,Zemun,Gornji grad,PRIZRENSKA,Stan,37.0,1.5,44000.0
2578,Beograd,Zemun,Gornji grad,PRIZRENSKA,Stan,35.0,1.5,35000.0
2579,Beograd,Savski venac,Balkanska,Balkanska,Stan,38.0,1.5,76000.0
2580,Beograd,Rakovica,Vidikovac,Vidikovacki venac,Stan,86.0,3.5,79000.0
2581,Beograd,Palilula,Karaburma,Dr.Drage Ljo?i?,Stan,32.0,1.5,28000.0
2582,Beograd,Zemun,Save Kova?evi?a,Šilerova,Stan,54.0,2.5,55500.0
