,Unnamed: 0,Ulica,Koordinate,Od centra
58,211,djordja kratovca,"(44.6711569, 20.5029521)",12.23556573
59,336,ivanke muacevic,"(44.6711569, 20.5029521)",12.23556573
60,476,ljuba vuckovica,"(44.6711569, 20.5029521)",12.23556573
61,479,ljube sercera,"(44.6711569, 20.5029521)",12.23556573
62,580,milovana jankovica,"(44.6711569, 20.5029521)",12.23556573
63,593,mitropolita pavla nenadovica,"(44.6711569, 20.5029521)",12.23556573
64,650,orahova,"(44.6711569, 20.5029521)",12.23556573
65,713,plitvicka,"(44.6711569, 20.5029521)",12.23556573
66,856,splitska,"(44.6711569, 20.5029521)",12.23556573
67,920,tomazeova,"(44.6711569, 20.5029521)",12.23556573
68,1021,vojvode prijezde,"(44.6711569, 20.5029521)",12.23556573
69,545,mihaila pupina,"(44.87724009999999, 20.3235188)",12.1405915
70,262,franje krca,"(44.873585, 20.3222394)",12.11802123
71,827,sergeja jesenjina,"(44.87420460000001, 20.3230602)",12.07621341
72,113,brace krnjesevac,"(44.870614, 20.3220624)",12.04058201
73,688,pavla zarica,"(44.871934, 20.322817)",12.02370309
74,1094,zila verna,"(44.6912653, 20.3817119)",11.94045932
75,919,tomasa edisona,"(44.6923257, 20.3819504)",11.85746635
76,532,martina lutera kinga,"(44.8747365, 20.3263462)",11.84882191
77,812,sare bernar,"(44.6948681, 20.3809744)",11.72700302
78,32,akrobate aleksica,"(44.8726877, 20.3289771)",11.58700771
79,255,elija fincija,"(44.8735501, 20.330076)",11.53343124
80,795,stevana filipovica,"(44.7042177, 20.3728956)",11.49183451
81,862,srpskog husarskog puka,"(44.9400235, 20.4303719)",10.34284537
82,783,simona bolivara,"(44.8566022, 20.3417819)",10.14739491
83,551,mije aleksica,"(44.857146, 20.3450225)",9.914111452
84,736,radnih akcija,"(44.7307209, 20.3748037)",9.77804869
85,797,stjepana supanca,"(44.7299247, 20.377186)",9.688677212
86,1083,djordja stojkovica,"(44.7277997, 20.3806172)",9.624805033
87,22,8. mart,"(44.7302626, 20.3790722)",9.563246166
88,872,starih ratnika,"(44.7275487, 20.3832886)",9.496412915
89,258,episkopa nikolaja,"(44.85044010000001, 20.3494692)",9.399819538
90,176,darinke radovic,"(44.7317135, 20.3808657)",9.377949147999999
91,51,avalska,"(44.7287373, 20.3850765)",9.32873592
92,52,avalska 5,"(44.7287373, 20.3850765)",9.32873592
93,943,ugrinovacki put 22. deo,"(44.8564657, 20.3560392)",9.058252900000001
94,890,surcinska,"(44.8057953, 20.3505233)",8.926946414
95,213,dobanovacki put,"(44.84591500000001, 20.3545938)",8.897081912
96,475,ljiljane krstic,"(44.8533357, 20.3576799)",8.844353318
97,654,osmog marta,"(44.7664854, 20.5557987)",8.723638664
98,813,sase filipovica,"(44.70991780000001, 20.462218)",8.59474568
99,254,edvarda griga,"(44.7117521, 20.4626462)",8.446850801
100,851,slobodana djurica,"(44.852504, 20.3637232)",8.361763835
101,311,hanibala lucica,"(44.8482391, 20.3623637)",8.350170945
102,805,svetozara papica,"(44.85562909999999, 20.3652556)",8.340110176
103,388,kamenorezacka,"(44.7134353, 20.4667123)",8.324856114
104,567,milene pavlovic barili,"(44.7134933, 20.460695)",8.303498793
105,646,omladinsko setaliste,"(44.7207126, 20.4233141)",8.27700413
106,816,save malesevica,"(44.720935, 20.4969772)",8.257072609
107,358,josipa senera,"(44.8556163, 20.366555)",8.242638658999999
108,575,milorada draskovica,"(44.7220567, 20.4212612)",8.237810784
109,941,ugrinovacki put,"(44.8526803, 20.3660559)",8.190429865
110,257,emilije jaksic,"(44.8568946, 20.3680161)",8.175241773
111,936,tuzlanska,"(44.7221212, 20.4234455)",8.166760077000001
112,212,djuje i dragoljuba,"(44.7243387, 20.4189406)",8.142694961
113,977,vere dimitrijevic,"(44.8584061, 20.3692946)",8.131737924
114,573,milice suvakovic,"(44.8591146, 20.3708346)",8.043638345
115,738,rasinska,"(44.7224548, 20.4290119)",7.9875722520000005
116,19,6. licke divizije,"(44.7189343, 20.4538059)",7.8794753889999996
117,134,bubanjskih zrtava,"(44.7189343, 20.4538059)",7.8794753889999996
118,153,cajnicka,"(44.7189343, 20.4538059)",7.8794753889999996
119,485,ljubomira ivkovica - suce,"(44.7189343, 20.4538059)",7.8794753889999996
120,566,mile dimic,"(44.7189343, 20.4538059)",7.8794753889999996
121,608,mrakovicka,"(44.7189343, 20.4538059)",7.8794753889999996
122,626,nikolaja gogolja,"(44.7189343, 20.4538059)",7.8794753889999996
123,633,nicifora ninkovica,"(44.7189343, 20.4538059)",7.8794753889999996
