,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Grejanje,Sprat,Ukupna spratnost,Cena
3536,Beograd,Opština Čukarica,Filmski grad,aljehinova,Stan,93.0,3.5,CG,VPR,4,98000.0
5332,Beograd,Opština Savski venac,Senjak,andre nikolica,Stan,30.0,1.0,TA,1,1,40000.0
311,Beograd,Opština Čukarica,Filmski grad,ane ahmetove,Stan,91.0,3.5,CG,VPR,4,98000.0
2072,Beograd,Opština Čukarica,Filmski grad,ane ahmetove,Stan,91.0,3.5,CG,VPR,4,98000.0
5325,Beograd,Opština Čukarica,Filmski grad,ane ahmetove,Stan,91.0,3.5,CG,VPR,4,105000.0
2528,Beograd,Opština Palilula,Karaburma,ane frank,Stan,50.0,1.5,TA,PR,4,45000.0
536,Beograd,Opština Palilula,Karaburma,ane frank,Stan,50.0,1.5,TA,PR,4,45000.0
5548,Beograd,Opština Palilula,Kotež,anke matic,Stan,59.0,3.5,EG,1,2,61800.0
57,Beograd,Opština Zvezdara,Gradska bolnica,ante bogicevica,Stan,60.0,3.0,CG,PR,6,82000.0
1895,Beograd,Opština Zvezdara,Gradska bolnica,ante bogicevica,Stan,60.0,3.0,CG,PR,6,82000.0
366,Beograd,Opština Novi Beograd,Arena,antofasisticke borbe,Stan,76.0,2.5,CG,2,6,115900.0
4079,Beograd,Opština Novi Beograd,Arena,antofasisticke borbe,Stan,53.0,3.5,CG,1,7,83900.0
2212,Beograd,Opština Novi Beograd,Arena,antofasisticke borbe,Stan,76.0,2.5,CG,2,6,115900.0
6086,Beograd,Opština Novi Beograd,Arena,antofasisticke borbe,Stan,86.0,3.0,CG,1,6,145000.0
803,Beograd,Opština Novi Beograd,Arena,antofasisticke borbe,Stan,61.0,2.0,CG,5,7,129900.0
2376,Beograd,Opština Novi Beograd,Arena,antofasisticke borbe,Stan,58.0,2.0,CG,3,7,104000.0
1330,Beograd,Opština Novi Beograd,Arena,antofasisticke borbe,Stan,61.0,2.0,CG,5,7,129900.0
2320,Beograd,Opština Novi Beograd,Arena,antofasisticke borbe,Stan,77.0,2.5,CG,2,6,116000.0
470,Beograd,Opština Novi Beograd,Arena,antofasisticke borbe,Stan,96.0,3.0,CG,3,6,150000.0
3391,Beograd,Opština Novi Beograd,Arena,antofasisticke borbe,Stan,61.0,2.0,CG,5,7,129900.0
5232,Beograd,Opština Novi Beograd,Arena,antofasisticke borbe,Stan,85.0,3.0,CG,1,5,150000.0
5101,Beograd,Opština Novi Beograd,Arena,antofasisticke borbe,Stan,72.0,2.5,CG,4,6,120000.0
2457,Beograd,Opština Novi Beograd,Arena,antofasisticke borbe,Stan,107.0,4.0,CG,7,7,180000.0
744,Beograd,Opština Novi Beograd,Arena,antofasisticke borbe,Stan,58.0,2.0,CG,3,7,104000.0
3891,Beograd,Opština Novi Beograd,Arena,antofasisticke borbe,Stan,110.0,4.0,CG,7,7,180000.0
2558,Beograd,Opština Novi Beograd,Arena,antofasisticke borbe,Stan,61.0,2.0,CG,5,7,129900.0
2490,Beograd,Opština Novi Beograd,Blok 22,antofasisticke borbe,Stan,117.0,4.0,CG,6,6,210000.0
2194,Beograd,Opština Novi Beograd,Arena,antofasisticke borbe,Stan,96.0,3.0,CG,3,6,150000.0
5489,Beograd,Opština Novi Beograd,Blok 22,antofasisticke borbe,Stan,112.0,4.0,CG,3,8,160000.0
3758,Beograd,Opština Novi Beograd,Blok 23,antofasisticke borbe,Stan,71.0,3.0,CG,4,5,92000.0
3049,Beograd,Opština Novi Beograd,Arena,antofasisticke borbe,Stan,64.0,2.5,CG,1,6,83900.0
